Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2000,Pennsylvania,0.19,0.05,0.25,0.51,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2001,Pennsylvania,0.19,0.06,0.24,0.51,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2002,Pennsylvania,0.20,0.05,0.26,0.50,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2003,Pennsylvania,0.20,0.05,0.25,0.49,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2004,Pennsylvania,0.18,0.05,0.24,0.53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2005,Pennsylvania,0.18,0.06,0.25,0.51,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2006,Pennsylvania,0.17,0.05,0.26,0.53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2007,Pennsylvania,0.15,0.06,0.24,0.55,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2008,Pennsylvania,0.16,0.06,0.25,0.53,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2009,Pennsylvania,0.15,0.05,0.26,0.54,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
2010,Pennsylvania,0.13,0.05,0.26,0.55,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
1995,Rhode Island,0.21,0.04,0.29,0.46,"Rhode Island
(41.70828000002217, -71.5224700001902)"
1996,Rhode Island,0.18,0.05,0.27,0.50,"Rhode Island
(41.70828000002217, -71.5224700001902)"
1997,Rhode Island,0.20,0.05,0.27,0.49,"Rhode Island
(41.70828000002217, -71.5224700001902)"
1998,Rhode Island,0.18,0.04,0.29,0.48,"Rhode Island
(41.70828000002217, -71.5224700001902)"
1999,Rhode Island,0.18,0.04,0.26,0.52,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2000,Rhode Island,0.18,0.05,0.27,0.50,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2001,Rhode Island,0.18,0.06,0.29,0.47,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2002,Rhode Island,0.18,0.05,0.30,0.48,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2003,Rhode Island,0.17,0.05,0.29,0.49,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2004,Rhode Island,0.16,0.06,0.29,0.50,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2005,Rhode Island,0.15,0.04,0.29,0.51,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2006,Rhode Island,0.15,0.04,0.29,0.52,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2007,Rhode Island,0.12,0.05,0.28,0.55,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2008,Rhode Island,0.13,0.04,0.28,0.55,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2009,Rhode Island,0.10,0.05,0.30,0.55,"Rhode Island
(41.70828000002217, -71.5224700001902)"
2010,Rhode Island,0.11,0.05,0.28,0.56,"Rhode Island
(41.70828000002217, -71.5224700001902)"
1995,South Carolina,0.21,0.03,0.20,0.56,"South Carolina
(33.99855000018255, -81.0452500001872)"
1996,South Carolina,0.21,0.03,0.20,0.55,"South Carolina
(33.99855000018255, -81.0452500001872)"
1997,South Carolina,0.20,0.03,0.20,0.57,"South Carolina
(33.99855000018255, -81.0452500001872)"
1998,South Carolina,0.20,0.05,0.21,0.55,"South Carolina
(33.99855000018255, -81.0452500001872)"
1999,South Carolina,0.18,0.06,0.20,0.56,"South Carolina
(33.99855000018255, -81.0452500001872)"
2000,South Carolina,0.19,0.06,0.22,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
2001,South Carolina,0.19,0.07,0.21,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
2002,South Carolina,0.21,0.06,0.23,0.51,"South Carolina
(33.99855000018255, -81.0452500001872)"
2003,South Carolina,0.20,0.06,0.23,0.52,"South Carolina
(33.99855000018255, -81.0452500001872)"
2004,South Carolina,0.18,0.06,0.22,0.54,"South Carolina
(33.99855000018255, -81.0452500001872)"
2005,South Carolina,0.17,0.06,0.24,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
2006,South Carolina,0.17,0.06,0.25,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
2007,South Carolina,0.16,0.06,0.25,0.53,"South Carolina
(33.99855000018255, -81.0452500001872)"
2008,South Carolina,0.14,0.06,0.25,0.55,"South Carolina
(33.99855000018255, -81.0452500001872)"
2009,South Carolina,0.15,0.06,0.25,0.55,"South Carolina
(33.99855000018255, -81.0452500001872)"
2010,South Carolina,0.14,0.07,0.24,0.55,"South Carolina
(33.99855000018255, -81.0452500001872)"
1995,South Dakota,0.20,0.02,0.24,0.54,"South Dakota
(44.353130000049646, -100.37353000040906)"
1996,South Dakota,0.18,0.03,0.25,0.54,"South Dakota
(44.353130000049646, -100.37353000040906)"
1997,South Dakota,0.19,0.06,0.26,0.50,"South Dakota
(44.353130000049646, -100.37353000040906)"
1998,South Dakota,0.22,0.05,0.20,0.52,"South Dakota
(44.353130000049646, -100.37353000040906)"
1999,South Dakota,0.18,0.05,0.25,0.52,"South Dakota
(44.353130000049646, -100.37353000040906)"
2000,South Dakota,0.17,0.05,0.25,0.54,"South Dakota
(44.353130000049646, -100.37353000040906)"
2001,South Dakota,0.17,0.06,0.25,0.53,"South Dakota
(44.353130000049646, -100.37353000040906)"
2002,South Dakota,0.18,0.05,0.22,0.55,"South Dakota
(44.353130000049646, -100.37353000040906)"
2003,South Dakota,0.16,0.06,0.25,0.52,"South Dakota
(44.353130000049646, -100.37353000040906)"
2004,South Dakota,0.14,0.06,0.24,0.56,"South Dakota
(44.353130000049646, -100.37353000040906)"
2005,South Dakota,0.14,0.06,0.25,0.55,"South Dakota
(44.353130000049646, -100.37353000040906)"
2006,South Dakota,0.15,0.06,0.25,0.55,"South Dakota
(44.353130000049646, -100.37353000040906)"
2007,South Dakota,0.14,0.06,0.24,0.56,"South Dakota
(44.353130000049646, -100.37353000040906)"
2008,South Dakota,0.12,0.06,0.26,0.56,"South Dakota
(44.353130000049646, -100.37353000040906)"
2009,South Dakota,0.13,0.05,0.27,0.55,"South Dakota
(44.353130000049646, -100.37353000040906)"
2010,South Dakota,0.11,0.04,0.27,0.58,"South Dakota
(44.353130000049646, -100.37353000040906)"
1995,Tennessee,0.24,0.02,0.20,0.54,"Tennessee
(35.68094000038087, -85.77449000011325)"
1996,Tennessee,0.25,0.03,0.20,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
1997,Tennessee,0.24,0.03,0.21,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
1998,Tennessee,0.23,0.03,0.22,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
1999,Tennessee,0.22,0.03,0.21,0.54,"Tennessee
(35.68094000038087, -85.77449000011325)"
2000,Tennessee,0.22,0.04,0.22,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
2001,Tennessee,0.20,0.05,0.19,0.57,"Tennessee
(35.68094000038087, -85.77449000011325)"
2002,Tennessee,0.23,0.05,0.19,0.54,"Tennessee
(35.68094000038087, -85.77449000011325)"
2003,Tennessee,0.21,0.05,0.19,0.55,"Tennessee
(35.68094000038087, -85.77449000011325)"
2004,Tennessee,0.22,0.05,0.22,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
2005,Tennessee,0.20,0.06,0.22,0.51,"Tennessee
(35.68094000038087, -85.77449000011325)"
2006,Tennessee,0.18,0.04,0.24,0.54,"Tennessee
(35.68094000038087, -85.77449000011325)"
2007,Tennessee,0.20,0.04,0.24,0.52,"Tennessee
(35.68094000038087, -85.77449000011325)"
2008,Tennessee,0.18,0.05,0.22,0.55,"Tennessee
(35.68094000038087, -85.77449000011325)"
2009,Tennessee,0.18,0.04,0.25,0.53,"Tennessee
(35.68094000038087, -85.77449000011325)"
2010,Tennessee,0.16,0.04,0.23,0.57,"Tennessee
(35.68094000038087, -85.77449000011325)"
1995,Texas,0.20,0.04,0.24,0.53,"Texas
(31.82724000022597, -99.42676999973554)"
1996,Texas,0.17,0.06,0.21,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
1997,Texas,0.16,0.06,0.20,0.57,"Texas
(31.82724000022597, -99.42676999973554)"
1998,Texas,0.16,0.06,0.23,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
1999,Texas,0.15,0.08,0.23,0.54,"Texas
(31.82724000022597, -99.42676999973554)"
2000,Texas,0.15,0.07,0.22,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
2001,Texas,0.16,0.07,0.21,0.57,"Texas
(31.82724000022597, -99.42676999973554)"
2002,Texas,0.17,0.06,0.21,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
2003,Texas,0.16,0.07,0.22,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
2004,Texas,0.14,0.07,0.20,0.59,"Texas
(31.82724000022597, -99.42676999973554)"
2005,Texas,0.13,0.07,0.21,0.59,"Texas
(31.82724000022597, -99.42676999973554)"
2006,Texas,0.13,0.05,0.22,0.60,"Texas
(31.82724000022597, -99.42676999973554)"
2007,Texas,0.13,0.06,0.21,0.60,"Texas
(31.82724000022597, -99.42676999973554)"
2008,Texas,0.12,0.07,0.22,0.60,"Texas
(31.82724000022597, -99.42676999973554)"
2009,Texas,0.12,0.06,0.22,0.61,"Texas
(31.82724000022597, -99.42676999973554)"
2010,Texas,0.11,0.05,0.21,0.63,"Texas
(31.82724000022597, -99.42676999973554)"
1997,Utah,0.11,0.03,0.17,0.69,"Utah
(39.36070000030492, -111.58712999994941)"
1998,Utah,0.11,0.04,0.19,0.67,"Utah
(39.36070000030492, -111.58712999994941)"
1999,Utah,0.10,0.04,0.17,0.69,"Utah
(39.36070000030492, -111.58712999994941)"
2000,Utah,0.10,0.03,0.18,0.69,"Utah
(39.36070000030492, -111.58712999994941)"
2001,Utah,0.09,0.04,0.17,0.70,"Utah
(39.36070000030492, -111.58712999994941)"
2002,Utah,0.10,0.03,0.17,0.70,"Utah
(39.36070000030492, -111.58712999994941)"
2003,Utah,0.09,0.03,0.17,0.72,"Utah
(39.36070000030492, -111.58712999994941)"
2004,Utah,0.08,0.03,0.16,0.74,"Utah
(39.36070000030492, -111.58712999994941)"
2005,Utah,0.09,0.03,0.16,0.73,"Utah
(39.36070000030492, -111.58712999994941)"
2006,Utah,0.07,0.03,0.17,0.74,"Utah
(39.36070000030492, -111.58712999994941)"
2007,Utah,0.08,0.03,0.16,0.73,"Utah
(39.36070000030492, -111.58712999994941)"
2008,Utah,0.07,0.03,0.16,0.75,"Utah
(39.36070000030492, -111.58712999994941)"
2009,Utah,0.07,0.03,0.15,0.75,"Utah
(39.36070000030492, -111.58712999994941)"
2010,Utah,0.06,0.03,0.14,0.77,"Utah
(39.36070000030492, -111.58712999994941)"
1995,Vermont,0.19,0.03,0.32,0.47,"Vermont
(43.625379999687425, -72.51764000028561)"
1996,Vermont,0.19,0.05,0.29,0.47,"Vermont
(43.625379999687425, -72.51764000028561)"
1997,Vermont,0.20,0.04,0.29,0.48,"Vermont
(43.625379999687425, -72.51764000028561)"
1998,Vermont,0.19,0.04,0.29,0.49,"Vermont
(43.625379999687425, -72.51764000028561)"
1999,Vermont,0.17,0.05,0.27,0.52,"Vermont
(43.625379999687425, -72.51764000028561)"
2000,Vermont,0.17,0.05,0.30,0.49,"Vermont
(43.625379999687425, -72.51764000028561)"
2001,Vermont,0.17,0.06,0.30,0.48,"Vermont
(43.625379999687425, -72.51764000028561)"
2002,Vermont,0.17,0.04,0.32,0.47,"Vermont
(43.625379999687425, -72.51764000028561)"
2003,Vermont,0.15,0.04,0.30,0.50,"Vermont
(43.625379999687425, -72.51764000028561)"
2004,Vermont,0.15,0.05,0.31,0.49,"Vermont
(43.625379999687425, -72.51764000028561)"
2005,Vermont,0.14,0.05,0.31,0.50,"Vermont
(43.625379999687425, -72.51764000028561)"
2006,Vermont,0.14,0.04,0.31,0.51,"Vermont
(43.625379999687425, -72.51764000028561)"
2007,Vermont,0.14,0.04,0.31,0.52,"Vermont
(43.625379999687425, -72.51764000028561)"
2008,Vermont,0.12,0.05,0.32,0.51,"Vermont
(43.625379999687425, -72.51764000028561)"
2009,Vermont,0.13,0.05,0.32,0.51,"Vermont
(43.625379999687425, -72.51764000028561)"
2010,Vermont,0.11,0.04,0.31,0.54,"Vermont
(43.625379999687425, -72.51764000028561)"
1995,Virginia,0.19,0.03,0.25,0.54,"Virginia
(37.54268000028196, -78.45789000012326)"
1996,Virginia,0.20,0.05,0.23,0.52,"Virginia
(37.54268000028196, -78.45789000012326)"
1997,Virginia,0.19,0.06,0.26,0.50,"Virginia
(37.54268000028196, -78.45789000012326)"
1998,Virginia,0.18,0.05,0.23,0.54,"Virginia
(37.54268000028196, -78.45789000012326)"
1999,Virginia,0.17,0.04,0.25,0.53,"Virginia
(37.54268000028196, -78.45789000012326)"
2000,Virginia,0.16,0.05,0.23,0.55,"Virginia
(37.54268000028196, -78.45789000012326)"
2001,Virginia,0.18,0.05,0.25,0.53,"Virginia
(37.54268000028196, -78.45789000012326)"
2002,Virginia,0.19,0.05,0.22,0.53,"Virginia
(37.54268000028196, -78.45789000012326)"
2003,Virginia,0.17,0.05,0.24,0.54,"Virginia
(37.54268000028196, -78.45789000012326)"
2004,Virginia,0.16,0.05,0.23,0.56,"Virginia
(37.54268000028196, -78.45789000012326)"
2005,Virginia,0.15,0.05,0.24,0.55,"Virginia
(37.54268000028196, -78.45789000012326)"
2006,Virginia,0.15,0.05,0.25,0.56,"Virginia
(37.54268000028196, -78.45789000012326)"
2007,Virginia,0.14,0.04,0.24,0.58,"Virginia
(37.54268000028196, -78.45789000012326)"
2008,Virginia,0.12,0.04,0.24,0.60,"Virginia
(37.54268000028196, -78.45789000012326)"
2009,Virginia,0.14,0.05,0.24,0.57,"Virginia
(37.54268000028196, -78.45789000012326)"
2010,Virginia,0.15,0.04,0.24,0.57,"Virginia
(37.54268000028196, -78.45789000012326)"
1995,Washington,0.18,0.02,0.30,0.50,"Washington
(47.522280000022135, -120.47001000026114)"
1996,Washington,0.19,0.04,0.27,0.50,"Washington
(47.522280000022135, -120.47001000026114)"
1997,Washington,0.19,0.05,0.27,0.49,"Washington
(47.522280000022135, -120.47001000026114)"
1998,Washington,0.17,0.05,0.28,0.51,"Washington
(47.522280000022135, -120.47001000026114)"
1999,Washington,0.17,0.05,0.27,0.51,"Washington
(47.522280000022135, -120.47001000026114)"
2000,Washington,0.15,0.06,0.29,0.51,"Washington
(47.522280000022135, -120.47001000026114)"
2001,Washington,0.16,0.06,0.28,0.50,"Washington
(47.522280000022135, -120.47001000026114)"
2002,Washington,0.16,0.05,0.29,0.50,"Washington
(47.522280000022135, -120.47001000026114)"
2003,Washington,0.15,0.05,0.26,0.54,"Washington
(47.522280000022135, -120.47001000026114)"
2004,Washington,0.14,0.05,0.25,0.56,"Washington
(47.522280000022135, -120.47001000026114)"
2005,Washington,0.13,0.05,0.27,0.55,"Washington
(47.522280000022135, -120.47001000026114)"
2006,Washington,0.12,0.05,0.26,0.57,"Washington
(47.522280000022135, -120.47001000026114)"
2007,Washington,0.12,0.05,0.26,0.57,"Washington
(47.522280000022135, -120.47001000026114)"
2008,Washington,0.12,0.04,0.27,0.58,"Washington
(47.522280000022135, -120.47001000026114)"
2009,Washington,0.11,0.04,0.27,0.58,"Washington
(47.522280000022135, -120.47001000026114)"
2010,Washington,0.11,0.04,0.26,0.59,"Washington
(47.522280000022135, -120.47001000026114)"
1995,West Virginia,0.24,0.02,0.23,0.51,"West Virginia
(38.66550999958696, -80.71263999973604)"
1996,West Virginia,0.24,0.03,0.23,0.51,"West Virginia
(38.66550999958696, -80.71263999973604)"
1997,West Virginia,0.25,0.03,0.24,0.48,"West Virginia
(38.66550999958696, -80.71263999973604)"
1998,West Virginia,0.25,0.03,0.24,0.48,"West Virginia
(38.66550999958696, -80.71263999973604)"
1999,West Virginia,0.24,0.03,0.24,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
2000,West Virginia,0.23,0.03,0.25,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
2001,West Virginia,0.24,0.05,0.25,0.47,"West Virginia
(38.66550999958696, -80.71263999973604)"
2002,West Virginia,0.24,0.05,0.24,0.47,"West Virginia
(38.66550999958696, -80.71263999973604)"
2003,West Virginia,0.23,0.05,0.26,0.47,"West Virginia
(38.66550999958696, -80.71263999973604)"
2004,West Virginia,0.22,0.05,0.25,0.48,"West Virginia
(38.66550999958696, -80.71263999973604)"
2005,West Virginia,0.21,0.05,0.24,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
2006,West Virginia,0.21,0.05,0.25,0.50,"West Virginia
(38.66550999958696, -80.71263999973604)"
2007,West Virginia,0.22,0.05,0.25,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
2008,West Virginia,0.22,0.05,0.25,0.48,"West Virginia
(38.66550999958696, -80.71263999973604)"
2009,West Virginia,0.21,0.05,0.25,0.50,"West Virginia
(38.66550999958696, -80.71263999973604)"
2010,West Virginia,0.23,0.04,0.24,0.49,"West Virginia
(38.66550999958696, -80.71263999973604)"
1995,Wisconsin,0.18,0.04,0.28,0.51,"Wisconsin
(44.39319000021851, -89.81636999977553)"
1996,Wisconsin,0.20,0.05,0.26,0.49,"Wisconsin
(44.39319000021851, -89.81636999977553)"
1997,Wisconsin,0.20,0.04,0.25,0.52,"Wisconsin
(44.39319000021851, -89.81636999977553)"
1998,Wisconsin,0.19,0.05,0.29,0.47,"Wisconsin
(44.39319000021851, -89.81636999977553)"
1999,Wisconsin,0.18,0.06,0.29,0.48,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2000,Wisconsin,0.18,0.06,0.27,0.49,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2001,Wisconsin,0.18,0.05,0.29,0.48,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2002,Wisconsin,0.19,0.05,0.27,0.49,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2003,Wisconsin,0.17,0.05,0.27,0.51,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2004,Wisconsin,0.17,0.05,0.24,0.54,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2005,Wisconsin,0.16,0.05,0.26,0.53,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2006,Wisconsin,0.15,0.06,0.26,0.53,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2007,Wisconsin,0.15,0.05,0.26,0.55,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2008,Wisconsin,0.14,0.06,0.27,0.54,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2009,Wisconsin,0.13,0.06,0.27,0.54,"Wisconsin
(44.39319000021851, -89.81636999977553)"
2010,Wisconsin,0.14,0.06,0.26,0.55,"Wisconsin
(44.39319000021851, -89.81636999977553)"
1995,Wyoming,0.19,0.03,0.27,0.51,"Wyoming
(43.23553999957147, -108.10982999975454)"
1996,Wyoming,0.20,0.05,0.25,0.50,"Wyoming
(43.23553999957147, -108.10982999975454)"
1997,Wyoming,0.20,0.05,0.25,0.51,"Wyoming
(43.23553999957147, -108.10982999975454)"
1998,Wyoming,0.19,0.04,0.25,0.52,"Wyoming
(43.23553999957147, -108.10982999975454)"
1999,Wyoming,0.19,0.05,0.25,0.51,"Wyoming
(43.23553999957147, -108.10982999975454)"
2000,Wyoming,0.18,0.06,0.25,0.51,"Wyoming
(43.23553999957147, -108.10982999975454)"
2001,Wyoming,0.17,0.05,0.26,0.52,"Wyoming
(43.23553999957147, -108.10982999975454)"
2002,Wyoming,0.19,0.04,0.27,0.50,"Wyoming
(43.23553999957147, -108.10982999975454)"
2003,Wyoming,0.20,0.05,0.26,0.49,"Wyoming
(43.23553999957147, -108.10982999975454)"
2004,Wyoming,0.17,0.05,0.25,0.53,"Wyoming
(43.23553999957147, -108.10982999975454)"
2005,Wyoming,0.16,0.05,0.27,0.52,"Wyoming
(43.23553999957147, -108.10982999975454)"
2006,Wyoming,0.16,0.05,0.25,0.54,"Wyoming
(43.23553999957147, -108.10982999975454)"
2007,Wyoming,0.18,0.05,0.25,0.53,"Wyoming
(43.23553999957147, -108.10982999975454)"
2008,Wyoming,0.15,0.05,0.25,0.55,"Wyoming
(43.23553999957147, -108.10982999975454)"
2009,Wyoming,0.15,0.05,0.26,0.54,"Wyoming
(43.23553999957147, -108.10982999975454)"
2010,Wyoming,0.15,0.05,0.25,0.56,"Wyoming
(43.23553999957147, -108.10982999975454)"
